Year	Day	HourMin	Wind Spd	Wind Dir	Air_1	Air_2	Air P	Rad	Snow D_m	Wind Speed Max	Wind Dir Max	Dew	RH
2004	101	500	12.57	326	9.83	9.39	1173	0.825	6999	28.61	325.2	6.02	79.7
2004	101	600	12.87	326.5	9.7	9.25	1172	0.868	6999	30.38	319.6	5.932	79.3
2004	101	700	17.08	335.5	9.82	9.35	1171	0.875	6999	41.67	337.1	6.467	80.4
2004	101	800	12.36	320.3	9.41	9.06	1173	3.783	6999	31.58	325.6	6.917	84.7
2004	101	900	7.52	256.7	9.05	8.76	1173	21.81	6999	20.15	273.4	6.802	86.2
2004	101	1000	7.36	267.8	8.39	7.98	1175	53.34	6999	18.59	159.9	4.343	78.6
2004	101	1100	9.2	185.2	9.36	8.99	1175	169	6999	20.92	215.8	2.31	62.89
2004	101	1200	14.48	186.6	9.33	8.93	1176	231	6999	32.21	175.2	1.795	57.93
2004	101	1300	16.33	220.3	9.94	9.35	1176	237.5	6999	35.67	266.6	-0.452	52.96
2004	101	1400	11.31	191.9	8.99	8.96	1176	426	6999	26.43	194.3	0.188	53.3
2004	101	1500	12.69	206.7	8.09	7.68	1177	472.9	6999	28.4	268	0.195	57.35
2004	101	1600	9.31	202.9	7.94	7.58	1176	169.9	6999	26.14	175	-0.338	57.94
2004	101	1700	8.68	220.4	7.25	6.897	1177	90.4	6999	18.88	254.4	-0.2	61.12
2004	101	1800	8.21	215.2	6.408	6.144	1177	48.6	6999	23.25	182.5	-0.228	61.62
2004	101	1900	7.69	335.2	6.287	5.914	1177	6.22	6999	20.43	255.8	-2.23	54.63
2004	101	2000	8.77	276.7	6.566	6.176	1177	0.788	6999	18.73	261	-1.874	56.04
2004	101	2100	8.58	283	6.322	5.948	1177	0.726	6999	16.69	260.8	0.041	65.87
2004	101	2200	8.49	280	5.47	5.227	1176	0.686	6999	23.18	243.8	1.02	73
2004	101	2300	7.17	285.2	5.923	5.593	1176	0.639	6999	14.57	311.5	1.142	74.8
2004	102	0	8.6	310.1	6.32	5.954	1176	0.647	6999	20.64	313	1.976	77.3
2004	102	100	7.64	306.6	6.155	5.855	1176	0.604	6999	21.06	334.6	1.953	72.8
2004	102	200	6.118	284.6	6.61	6.281	1176	0.596	6999	11.61	256.7	1.932	73.1
2004	102	300	7.52	273	5.855	5.594	1176	0.613	6999	19.86	265.2	1.542	75.6
2004	102	400	3.66	295.4	6.659	6.314	1175	0.539	6999	10.27	304.7	1.462	69.67
2004	102	500	7.38	212.6	6.464	6.15	1176	0.591	6999	15.77	258.6	1.636	71.4
2004	102	600	7.31	261.8	6.57	6.184	1176	0.604	6999	16.05	246.2	1.518	72.4
2004	102	700	10.31	264.7	6.26	5.889	1175	0.645	6999	23.82	256.2	1.258	71.8
2004	102	800	6.896	277.9	6.881	6.544	1176	10.38	6999	15.21	257.5	0.686	65.72
2004	102	900	7.93	277.3	7.99	7.43	1176	89.8	6999	19.65	260.8	1.709	67.74
2004	102	1000	8.28	278	8.36	8.25	1176	222.4	6999	20.57	257.6	2.374	64.42
2004	102	1100	9.96	277.6	10.05	9.84	1175	251.7	6999	24.31	257.8	2.769	60.96
2004	102	1200	14.77	268.2	10.3	9.81	1175	406.7	6999	36.16	242.4	2.408	60.2
2004	102	1300	18.23	253.7	10.33	9.91	1175	280.3	6999	35.95	252.4	2.877	60.45
2004	102	1400	18.58	253.2	10.76	10.4	1174	608	6999	32	256.4	2.879	59.34
2004	102	1500	16.43	253.7	10.17	9.88	1174	412.7	6999	31.15	255.2	2.623	63.7
2004	102	1600	12.74	256.9	10.66	10.4	1175	380	6999	23.18	266.1	2.231	61.57
2004	102	1700	9.49	268.3	9.33	9.09	1175	221.8	6999	22.55	259.7	2.752	64.17
2004	102	1800	8.21	289.1	8.61	8.27	1175	67.2	6999	25.09	267.5	1.708	64.16
2004	102	1900	9.79	265.4	8.06	7.72	1175	3.799	6999	21.28	257.7	1.612	64.36
2004	102	2000	10.98	246.2	7.96	7.58	1176	0.911	6999	22.69	261.6	1.361	67.15
2004	102	2100	8.5	260.3	7.88	7.42	1176	0.885	6999	17.46	268.5	1.437	65.71
2004	102	2200	11.17	257	7.97	7.55	1177	0.826	6999	23.25	228.5	1.752	65.86
2004	102	2300	6.128	221.1	7.38	7.06	1177	0.875	6999	14.43	271.6	1.313	67.01
2004	103	0	5.023	76.2	5.994	5.816	1177	0.879	6999	9	121.9	1.61	74.1
2004	103	100	5.518	74	6.118	5.751	1178	0.764	6999	11.33	116.4	1.433	77.2
2004	103	200	6.233	95.8	6.263	6.014	1178	0.65	6999	10.76	88.9	1.752	74.2
2004	103	300	5.159	105.1	3.438	3.232	1178	0.576	6999	10.76	77.2	0.977	82
2004	103	400	5.126	57.22	3.149	2.875	1178	0.534	6999	9.28	73.2	1.015	88.4
2004	103	500	4.96	71.3	3.11	2.778	1179	0.517	6999	8.86	64.97	1.239	88.2
2004	103	600	4.555	59.5	3.387	3.236	1179	0.509	6999	9.99	82.1	1.386	88.3
2004	103	700	4.435	71.2	3.386	3.04	1180	0.527	6999	8.43	95.3	1.748	90.4
2004	103	800	3.59	56.93	3.452	3.138	1180	12.21	6999	8.57	68.16	1.821	90.3
2004	103	900	4.831	82.5	7.05	6.512	1181	99.3	6999	11.89	98.7	2.474	79.3
2004	103	1000	8.47	128.4	8.1	7.99	1182	301.3	6999	16.48	136.7	3.21	70.7
2004	103	1100	7.23	109.3	10.1	9.82	1182	314.7	6999	17.32	109.4	2.865	62.19
2004	103	1200	8.47	103.9	9.94	9.55	1182	326.7	6999	17.89	115.8	2.498	61.21
2004	103	1300	8.78	115.9	11.12	10.43	1182	337.4	6999	18.95	122.8	2.956	58.5
2004	103	1400	9.51	112.2	10.74	10.79	1182	634.7	6999	20.36	110.7	3.311	59
2004	103	1500	8.87	113.7	11.3	11.02	1183	529.6	6999	18.88	88	2.678	57.41
2004	103	1600	8.87	126.5	10.78	10.53	1183	406	6999	20.15	169.5	3.473	60.09
2004	103	1700	8.62	145.6	9.82	9.67	1183	257.1	6999	21.49	152.4	3.345	64.14
2004	103	1800	8.81	155.1	6.624	6.303	1184	31.93	6999	20.92	149.9	2.485	75.8
2004	103	1900	5.789	116.8	5.564	5.292	1185	3.302	6999	15.56	170.7	2.22	79.5
2004	103	2000	7.41	147.9	6.271	5.882	1186	0.908	6999	17.18	163.8	2.101	76.6
2004	103	2100	6.809	124.3	5.416	5.161	1187	0.839	6999	15.7	162.7	1.961	79.1
2004	103	2200	4.74	113.1	3.729	3.524	1187	0.739	6999	9.21	86.3	1.225	84.2
2004	103	2300	4.95	124.7	2.529	2.379	1188	0.555	6999	9.99	147.1	0.717	86.7
2004	104	0	4.265	102.1	2.048	1.795	1188	0.51	6999	8.29	171.8	0.243	89
2004	104	100	5.21	69.59	1.099	0.913	1189	0.514	6999	8.5	41.74	-0.124	92.8
2004	104	200	3.696	50.03	0.113	-0.099	1189	0.665	6999	8.15	48.94	-1.015	93.9
2004	104	300	6.012	39.05	-0.327	-0.59	1189	0.927	6999	9.21	47.17	-1.435	94.5
2004	104	400	6.728	44.96	-0.108	-0.295	1189	1.003	6999	10.34	42.34	-1.291	93.3
2004	104	500	6.19	47.83	0.071	-0.131	1190	1.011	6999	11.04	47.88	-1.185	92.6
2004	104	600	6.914	51.69	-0.225	-0.557	1190	1.012	6999	11.82	80.4	-1.539	92.8
2004	104	700	6.715	44.63	0.024	-0.262	1191	1.012	6999	11.75	73.8	-1.328	91.9
2004	104	800	5.997	44.37	0.815	0.524	1192	11.67	6999	11.33	43.75	-0.609	92.2
2004	104	900	6.294	45.8	2.873	2.424	1192	74.7	6999	10.2	75.5	1.199	91.3
2004	104	1000	6.783	47.57	5.045	4.652	1193	159	6999	12.1	57.32	2.78	88.3
2004	104	1100	5.059	89.9	5.925	5.635	1193	178.1	6999	11.26	87.3	2.582	80.4
2004	104	1200	7.26	224.9	7.01	6.872	1193	223.4	6999	12.88	205.9	2.556	75.5
2004	104	1300	5.585	230.3	9.11	8.35	1193	271.3	6999	11.33	255.4	2.939	69.91
2004	104	1400	5.325	251.4	10.1	10.34	1192	557.4	6999	10.41	266.1	3.323	61.86
2004	104	1500	5.721	302.4	11.75	11.68	1192	445.2	6999	11.47	281.2	3.85	58.4
2004	104	1600	4.732	269	13.05	13.32	1192	394	6999	10.41	254.8	4.285	53.82
2004	104	1700	5.051	233	13.27	12.95	1193	238.4	6999	9.35	250.1	5.259	58.12
2004	104	1800	7.53	189.2	10.13	9.84	1193	70.6	6999	11.54	204.3	5.798	74.4
2004	104	1900	2.327	173.7	7.06	6.892	1194	3.316	6999	6.881	261	4.815	86.6
2004	104	2000	4.388	59.34	5.202	4.997	1195	1.003	6999	7.59	44.57	3.28	87.8
2004	104	2100	5.316	65.77	4.174	3.884	1196	0.885	6999	8.64	87.7	2.547	90.6
2004	104	2200	5.154	54.69	3.125	3	1196	0.575	6999	8.01	67.79	1.935	92.9
2004	104	2300	5.685	49.01	2.873	2.612	1196	0.515	6999	10.48	51.64	1.664	93.8
2004	105	0	5.821	53.66	2.421	2.155	1196	0.512	6999	9	72	1.478	94.2
2004	105	100	7.05	41.23	1.893	1.667	1197	0.565	6999	11.47	62.14	1.002	95.6
2004	105	200	5.547	42.94	1.931	1.703	1197	0.676	6999	9.84	39.27	1.057	95.3
2004	105	300	5.477	38.7	1.699	1.441	1197	0.81	6999	8.64	70.3	0.924	95.7
2004	105	400	6.245	43.75	1.833	1.638	1197	0.916	6999	11.47	67.34	0.877	95.1
2004	105	500	5.774	43.17	2.273	2.162	1197	0.982	6999	9.42	45.52	1.246	94.4
2004	105	600	5.306	64.29	1.451	1.278	1197	0.998	6999	9.49	50.59	0.418	94
2004	105	700	5.825	62.49	2.023	1.933	1197	1.005	6999	9.91	68.87	1.057	94.2
2004	105	800	5.06	56.69	2.76	2.588	1198	9.77	6999	10.55	172.2	1.279	91.8
2004	105	900	3.877	64.88	7.69	6.847	1198	86.5	6999	7.73	74.3	4.166	85
2004	105	1000	3.82	309.1	11.16	11.76	1198	331	6999	9.91	260.5	6.323	69.7
2004	105	1100	6.433	315	13.72	13.88	1198	264.2	6999	16.76	334.6	5.385	57.3
2004	105	1200	6.651	303.1	13.96	14.27	1197	370.1	6999	15.35	262.4	4.485	52.1
2004	105	1300	6.689	306	15.2	14.56	1197	318.4	6999	14.64	332	4.973	50.17
2004	105	1400	13.61	265.3	14.33	13.93	1196	520.2	6999	28.4	252.9	3.309	50.29
2004	105	1500	14.25	264.5	14.5	14.13	1196	410.1	6999	31.15	260.5	3.374	48.44
2004	105	1600	11.32	276.5	14.41	14.72	1196	344.7	6999	24.1	277.6	4.82	50.25
2004	105	1700	7.57	321.6	13.1	13.05	1196	230.5	6999	17.75	338.1	4.427	55.73
2004	105	1800	7.19	324.5	11.91	11.54	1196	63.15	6999	16.69	316.7	3.578	59.6
2004	105	1900	8.73	315.1	11.44	10.98	1196	3.604	6999	19.93	328.2	4.077	63.34
2004	105	2000	8.09	311.1	11.09	10.59	1196	0.985	6999	15.98	320.5	3.442	63.11
2004	105	2100	8.15	306.1	10.8	10.34	1196	0.945	6999	16.34	287.1	3.717	62.72
2004	105	2200	7.9	308.3	10.87	10.4	1196	0.917	6999	14.92	300	2.825	61.13
2004	105	2300	9.95	306.3	10.98	10.56	1195	0.848	6999	21.77	320.8	4.709	67.29
2004	106	0	10.99	303.7	11.36	10.86	1196	0.833	6999	25.01	255.7	2.98	61.48
2004	106	100	7.73	310.2	11.25	10.89	1195	0.882	6999	17.68	338.7	3.886	60.15
2004	106	200	7.73	307.9	11.4	11.06	1195	0.881	6999	19.09	276.8	4.46	63.05
2004	106	300	11.8	306.2	11.45	11.09	1194	0.8	6999	25.37	296.9	5.241	66.83
2004	106	400	11.76	304.7	11.42	10.99	1193	0.838	6999	25.79	289.8	4.991	65.86
2004	106	500	9.09	304.8	11.69	11.22	1193	0.882	6999	19.02	258.7	5.324	67.57
2004	106	600	8.85	312.7	11.54	11.12	1192	0.913	6999	24.38	311.7	5.152	66.76
2004	106	700	9.29	290	12.16	11.87	1193	0.93	6999	20.29	267.7	4.854	61.19
2004	106	800	11.42	258.9	11.87	11.42	1193	5.742	6999	19.23	266.8	5.47	68.13
2004	106	900	6.921	277.8	12.38	12.01	1194	36.04	6999	19.51	265.6	5.591	65.75
2004	106	1000	5.829	299.6	12.62	12.37	1194	74.9	6999	11.04	313.3	6.852	67.83
2004	106	1100	7.88	288.2	12.73	12.5	1193	134.2	6999	21.91	259	7.15	67.53
2004	106	1200	10.07	288.2	12.06	11.84	1193	147	6999	23.96	258.3	7.45	70.5
2004	106	1300	12.88	318.5	12.59	12.26	1192	127.8	6999	31.51	334.4	7.59	72.3
2004	106	1400	13.75	321.2	13.97	13.67	1191	178.1	6999	32.99	310.7	7.62	69.75
2004	106	1500	11.76	318.7	16.26	16.16	1191	413.8	6999	29.18	349.7	8.76	65.14
2004	106	1600	7.86	307.5	14.78	14.72	1191	342.2	6999	19.86	327.8	9.17	67.27
2004	106	1700	8.51	310.7	13.83	13.6	1191	151.5	6999	23.74	314.3	9.15	74
2004	106	1800	9.79	317.6	13	12.62	1190	41.55	6999	24.52	327.5	9.24	79.6
2004	106	1900	13.23	331.5	12.86	12.46	1190	1.689	6999	26.64	325.2	9.22	82.5
2004	106	2000	12.23	329.9	13.01	12.72	1190	0.98	6999	28.47	0.118	9.4	77.8
2004	106	2100	8.37	324.7	12.94	12.59	1190	0.993	6999	22.19	330.5	9.62	81.6
2004	106	2200	6.65	323.8	13.16	12.75	1190	1.008	6999	14.22	337.1	9.83	82.7
2004	106	2300	8.8	320.6	13.03	12.72	1190	0.989	6999	25.09	295.5	10.3	84.9
2004	107	0	9.14	329.7	12.85	12.52	1190	0.982	6999	21.28	342	10.47	87.1
2004	107	100	10.05	335.5	12.76	12.32	1190	0.961	6999	21.84	317.6	10.67	89.7
2004	107	200	12.65	338.3	12.66	12.29	1190	0.974	6999	24.87	329	10.56	89.6
2004	107	300	15.63	335.8	12.83	12.42	1190	0.945	6999	26.99	358	10.73	88.9
2004	107	400	13.49	333.8	13.36	12.98	1190	0.951	6999	26.5	348.6	10.93	86.2
2004	107	500	14.31	327.8	13.39	13.01	1190	0.952	6999	28.75	318.1	11	87.2
2004	107	600	11.87	330	13.65	13.14	1190	0.982	6999	23.89	325.3	11.03	87.2
2004	107	700	9.91	337.8	13.61	13.24	1190	0.989	6999	20.29	334.2	11.21	86.3
2004	107	800	5.125	217.8	12.65	12.26	1191	3.601	6999	15.84	288.2	11.41	94.1
2004	107	900	5.736	333.5	13.55	13.18	1192	29.87	6999	19.37	342	11.83	91.8
2004	107	1000	8.91	322.3	14.35	14.03	1192	61.55	6999	21.28	349.4	11.69	85.9
2004	107	1100	5.308	287.8	14.05	13.8	1192	74.7	6999	12.53	221.8	11.99	89
2004	107	1200	3.408	311.1	14.36	14.09	1192	106.6	6999	8.01	325.8	12.07	87.3
2004	107	1300	4.57	261.4	14.82	14.55	1191	87.5	6999	9.35	264.3	12.08	85.3
2004	107	1400	9.29	327.2	15.92	15.63	1190	137.9	6999	20.22	340.3	12.15	79.7
2004	107	1500	10.96	335.3	15.98	15.76	1190	119.3	6999	20.22	333	12.3	78.9
2004	107	1600	9.17	334.1	15.43	15.11	1190	98	6999	20.08	326.1	12.74	84.8
2004	107	1700	8.73	334	14.47	14.16	1189	56.91	6999	15.84	329.1	12.73	90.4
2004	107	1800	10.51	332	14.23	13.86	1189	29.95	6999	23.46	330.1	12.07	89.3
2004	107	1900	12.08	333.6	14.21	13.9	1189	1.18	6999	21.91	316	12.06	87.6
2004	107	2000	10.17	330.3	13.69	13.31	1189	1.015	6999	27.7	331	12.17	91.9
2004	107	2100	8.77	328.6	13.43	13.05	1189	1.015	6999	17.11	346.2	12.16	93.3
2004	107	2200	4.631	356.8	13.75	13.41	1189	1.013	6999	10.97	335.6	11.86	90.5
2004	107	2300	6.625	353	14.26	13.96	1189	1.005	6999	18.52	337	11.71	86.1
2004	108	0	9.14	323	13.78	13.47	1188	1.013	6999	19.37	329	11.69	88.1
2004	108	100	5.935	315.7	14.15	13.93	1188	1.013	6999	17.61	352.9	11.78	84.4
2004	108	200	6.808	355.6	15.44	15.08	1188	1.013	6999	15.28	334.2	11.77	80.4
2004	108	300	10.28	345.9	15.18	14.88	1187	1	6999	21.98	348	11.77	81
2004	108	400	12.07	339.7	15.25	14.91	1187	1.015	6999	28.05	308.4	11.78	81.2
2004	108	500	9.41	346	14.56	14.26	1186	1.013	6999	22.4	330.4	11.48	83.3
2004	108	600	7.81	352.1	14.94	14.52	1186	1.02	6999	17.11	354.8	11.46	81.7
2004	108	700	8.88	341	14.36	14.06	1185	1.023	6999	17.32	328.2	11.61	84
2004	108	800	5.974	324.2	14.15	13.8	1185	2.869	6999	17.11	332.3	11.56	85.5
2004	108	900	5.464	324.5	13.8	13.47	1185	32.88	6999	11.18	332.2	12.19	91.1
2004	108	1000	9.59	334.5	14.04	13.63	1185	78.6	6999	23.46	316.6	12.41	92
2004	108	1100	13.48	333.2	14.71	14.32	1185	135.9	6999	23.74	334.8	12.5	88.3
2004	108	1200	13.36	330.1	15.58	15.24	1185	159	6999	23.53	0.589	12.76	86.4
2004	108	1300	16.1	333.1	15.51	15.14	1184	131.9	6999	28.05	302.1	12.48	83.5
2004	108	1400	14.41	330.5	15.36	14.98	1184	98.3	6999	26.14	327	12.27	82.9
2004	108	1500	15.53	331.4	17.16	16.94	1183	248.9	6999	26.21	333.1	12.74	78.4
2004	108	1600	13.35	330.9	16.4	16.25	1183	368.7	6999	24.66	326.3	12.6	77.9
2004	108	1700	10.88	332.4	16.31	16.12	1183	117.3	6999	21.28	344.6	12.34	79.1
2004	108	1800	11.05	327	15.25	14.9	1183	35.48	6999	23.74	330	11.68	81.2
2004	108	1900	10.79	321.3	15.39	14.94	1183	2.971	6999	28.68	343.2	11.44	79.4
2004	108	2000	10.72	318.5	15.52	14.91	1183	1.032	6999	27.2	326.6	11.17	79.7
2004	108	2100	11.03	321.7	14.73	14.42	1183	1.048	6999	26.99	340.8	11.42	82.9
2004	108	2200	12.27	332.9	15.04	14.58	1184	1.051	6999	24.73	313.8	11.42	82.4
2004	108	2300	10.42	333.4	14.01	13.6	1184	1.035	6999	21.49	343.4	11.51	87.3
2004	109	0	10.69	336.3	14.97	14.52	1184	1.03	6999	20.99	5.187	11.22	81.3
2004	109	100	10.95	333.2	14.03	13.73	1184	1.039	6999	20.08	317.1	11.38	84.6
2004	109	200	5.717	295.5	12.79	12.42	1185	1.018	6999	14.71	326.1	11.11	91.4
2004	109	300	4.518	68.47	11.94	11.64	1185	1.013	6999	8.64	70.8	10.42	91.1
2004	109	400	5.97	5.173	13.19	12.85	1185	1.013	6999	11.04	328.2	11.55	90.4
2004	109	500	2.117	326.7	12.23	11.93	1185	1.013	6999	6.246	331.9	10.92	93.6
2004	109	600	3.743	66.01	11.41	11.18	1186	1.013	6999	7.23	118.6	10.72	96
2004	109	700	4.189	65.94	10.56	10.34	1186	1.013	6999	6.881	40.67	9.88	96.2
2004	109	800	3.67	49.76	9.6	9.16	1186	10.5	6999	7.94	55.88	8.82	97.1
2004	109	900	3.887	81.6	12.02	11.71	1186	72.3	6999	9.49	53.29	10.6	94.3
2004	109	1000	3.609	199	13.79	13.48	1186	143.9	6999	6.528	200.5	11.56	88
2004	109	1100	5.25	174.7	14.49	14.13	1186	213.2	6999	8.29	191.6	11.98	85.8
2004	109	1200	4.388	194.3	16.07	16.52	1186	244.2	6999	8.72	194.2	12.78	77.1
2004	109	1300	6.007	198.2	17.18	16.58	1185	237.1	6999	11.04	183.7	12.4	77.9
2004	109	1400	4.599	193.5	17.79	17.6	1184	414.5	6999	10.55	183.8	12.09	70.4
2004	109	1500	7.72	207.9	18.56	18.21	1184	347	6999	14.01	170.7	12.91	70.8
2004	109	1600	8.39	191.7	18.51	18.24	1184	270	6999	13.23	186	12.68	70.2
2004	109	1700	8.1	145.6	16.06	15.79	1184	161	6999	16.19	184.9	12.99	81.9
2004	109	1800	8.14	144.9	14.24	13.85	1185	26.6	6999	16.9	124.1	11.95	87.8
2004	109	1900	6.374	152.6	13.39	13.04	1185	1.391	6999	15.21	165.8	11.74	91
2004	109	2000	7.41	163	13.44	13.04	1186	0.923	6999	13.09	148.4	11.83	91.9
2004	109	2100	5.71	145.5	13.11	12.72	1186	1.004	6999	9.99	149.2	11.72	93.1
2004	109	2200	4.917	143	13.09	12.68	1186	1.013	6999	9.84	122.8	11.26	91.4
2004	109	2300	2.163	140.3	12.42	12.13	1186	1.013	6999	7.87	154.3	11.26	94
2004	110	0	1.814	71.4	11.51	11.21	1186	1.013	6999	6.457	59.53	10.52	95.3
2004	110	100	3.997	37.33	10.74	10.39	1186	1.013	6999	6.034	43.26	9.87	96.3
2004	110	200	4.183	45.77	10.99	10.59	1186	1.013	6999	6.599	54.7	9.97	95.9
2004	110	300	4.702	43.19	11.14	10.76	1186	1.013	6999	8.15	56	10.09	95.6
2004	110	400	4.923	48.86	11.34	10.93	1185	1.013	6999	7.3	64.61	10.65	98
2004	110	500	3.687	38.72	11.33	10.93	1185	1.013	6999	7.02	47.87	10.66	98.3
2004	110	600	3.664	39.79	11.02	10.63	1186	1.013	6999	6.951	44.09	10.37	98.5
